"Event_LegacyPollen","Event_PANGAEA","Event_Neotoma","Neotoma_DOI","Data_Source","Site_ID","Dataset_ID","Site_Name","Latitude","Longitude","Elevation","Continent","Archive_Type","Data_Type","Number_Pollen_Samples","AgeModel_Source","Number_Datings","minimum_meanAge","maximum_meanAge","mean_resolution_meanAge","range_meanAge","Site_Description","Submission_Pollendata","Publication_1","Publication_DOI_1","Publication_2","Publication_DOI_2","Publication_3","Publication_DOI_3","Publication_4","Publication_DOI_4","Publication_5","Publication_DOI_5","Publication_6","Publication_DOI_6","Publication_7","Publication_DOI_7","Publication_8","Publication_DOI_8"
"BARRETT","BARRETT","BARRETT","10.21233/n36q51","LegacyPollen 1.0",231,234,"Barrett Lake",37.6,-119.01,2816,"Western North America","Lake","Raw",38,"AWI",5,-61,15366,416.9,15427,"Glacial scour lake. Physiography: Sierra Nevada mountains. Surrounding vegetation: lodgepole/limber pine, mountain hemlock.",NA,"Anderson, R.S., 1987. Late-Quaternary environments of the Sierra Nevada, California. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA.",NA,"Anderson, R.S., 1990. Holocene forest development and paleoclimates within the central Sierra Nevada, California. Journal of Ecology, 78(2), pp.470-489.","https://doi.org/10.2307/2261125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BASEBALL","BASEBALL","BASEBALL","10.21233/n3c59k","LegacyPollen 1.0",233,236,"Baseball Bog",47.23,-79.78,292,"Eastern North America","Lake","Raw",40,"AWI",2,11,11860,303.8,11849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BASTIEN","BASTIEN","BASTIEN","10.21233/n33p4c","LegacyPollen 1.0",235,238,"Lac Bastien",46.4,-78.9167,305,"Eastern North America","Lake","Raw",67,"AWI",5,-37,10722,163,10759,"Glacial scour lake. Physiography: Canadian Shield. Surrounding vegetation: fir-maple-spruce-birch forest.","1985-01-01 00:00:00","Bennett, K.D., 1987. Holocene history of forest trees in southern Ontario. Canadian Journal of Botany, 65(9), pp.1792-1801.","https://doi.org/10.1139/b87-248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BATLGRND","BATLGRND","BATLGRND","10.21233/n3002s","LegacyPollen 1.0",236,239,"Battle Ground Lake",45.8,-122.49,155,"Western North America","Lake","Raw",105,"AWI",15,-40,24274,233.8,24314,"Volcanic crater. Physiography: Puget Trough. Surrounding vegetation: second-growth Pseudotsuga/decid forest.","1980-10-01 00:00:00","Barnosky, C.W., 1983. Late-Quaternary vegetational and climatic history of southwestern Washington. Doctoral dissertation. University of Washington, Seattle, Washingtion, USA.",NA,"Barnosky, C.W., 1985. Late Quaternary vegetation near Battle Ground Lake, southern Puget Trough, Washington. Geological Society of America Bulletin, 96(2), pp.263-271.","https://doi.org/10.1130/0016-7606(1985)96<263:LQVNBG>2.0.CO;2","Whitlock, C., 1992. Vegetational and climatic history of the Pacific Northwest during the last 20,000 years: implications for understanding present-day biodiversity. Northwest Environmental Journal, 8, pp.5-28.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BATTAGLI","BATTAGLI","BATTAGLI","10.21233/n3f986","LegacyPollen 1.0",237,240,"Battaglia Bog",41.14389,-81.3286,335,"Eastern North America","Peat","Raw",14,"AWI",3,11707,20212,654.2,8505,"Small fen in interlobate area. Physiography: Allegheny Plateau. Surrounding vegetation: agriculturally disturbed.","1973-01-01 00:00:00","Shane, L.C., 1975. Palynology and Radiocaron Chronology of Battaglia Bog, Portage County, Ohio. The Ohio Journal of Science, 75(2), pp.96-102.",NA,"Shane, L.C., 1987. Late-glacial vegetational and climatic history of the Allegheny Plateau and the Till Plains of Ohio and Indiana, USA. Boreas, 16(1), pp.1-20.","https://doi.org/10.1111/j.1502-3885.1987.tb00750.x","Shane, L.C. and Anderson, K.H., 1993. Intensity, gradients and reversals in late glacial environmental change in east-central North America. Quaternary Science Reviews, 12(5), pp.307-320.","https://doi.org/10.1016/0277-3791(93)90039-O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEARBOG","BEARBOG","BEARBOG","10.21233/n36g60","LegacyPollen 1.0",242,245,"Bear Bog",47.18,-80.16,304,"Eastern North America","Peat","Raw",27,"AWI",3,4131,11136,269.4,7005,"Bog.","1991-01-01 00:00:00","Gordon, D.L. and McAndrews, J.H., 1992. Field testing a model of paleohydrology for prehistoric site prediction at Lake Temagami, northeastern Ontario. Annual Archaeological Report, Ontario, 3, pp.80-86.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEEFPAST","BEEFPAST","BEEFPAST","10.21233/n34t3p","LegacyPollen 1.0",246,250,"Beef Pasture",37.47311,-108.16,3060,"Western North America","Peat","Raw",91,"AWI",10,-24,6033,67.3,6057,"Open wet meadow and fen occupying a depression formed by a landslide ~5000 BP in the La Plata Mountains. Local upland vegetation dominated by Picea engelmannii, Pseudotsuga menziesii, Populus tremuloides, and Alnus tenuifolia. Salix brachycarpa lines the edges of the wet meadow.","1973-08-17 00:00:00","Petersen, K.L., 1988. Climate and the Dolores River Anasazi: a paleoenvironmental reconstruction from a 10,000-year pollen record, La Plata Mountains, Southwestern Colorado. University of Utah, Anthropological Papers 113. University of Utah Pres, Salt Lake City, Utah, USA.",NA,"Petersen, K.L., 1985. Palynology in Montezuma County, southwestern Colorado: the local history of the Pinyon Pine (Pinus edulis). In: Late Quaternary Vegetation and Climates in the American Southwest. Contribution Series 16. ed. by B.F. Jacobs, P.L. Fall, and O.K. Davis (pp.47-62). American Association of Stratigraphic Palynologists, Dallas, Texas, USA.",NA,"Petersen, K.L., 1994. A warm and wet Little Climatic Optimum and a cold and dry Little Ice Age in the southern Rocky Mountains, USA. Climatic Change, 26(2), pp.243-269.","https://doi.org/10.1007/BF01092417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEGASWAM","BEGASWAM","BEGASWAM","10.21233/n39890","LegacyPollen 1.0",247,252,"Bega Swamp",-36.5167,149.5,1080,"Indopacific","Peat","Raw",489,"AWI",39,-45.2,14487,29.8,14532.2,NA,NA,"Donders, T.H., Haberle, S.G., Hope, G., Wagner, F. and Visscher, H., 2007. Pollen evidence for the transition of the Eastern Australian climate system from the post-glacial to the present-day ENSO mode. Quaternary Science Reviews, 26(11-12), pp.1621-1637.","https://doi.org/10.1016/j.quascirev.2006.11.018","Hope, G., Kershaw, A.P., van der Kaars, S., Xiangjun, S., Liew, P.M., Heusser, L.E., Takahara, H., McGlone, M., Miyoshi, N. and Moss, P.T., 2004. History of vegetation and habitat change in the Austral-Asian region. Quaternary International, 118, pp.103-126.","https://doi.org/10.1016/S1040-6182(03)00133-2","Green, D., Singh, G., Polach, H., Moss, D., Banks, J. and Geissler, E.A., 1988. A fine-resolution palaeoecology and palaeoclimatology from south-eastern Australia. Journal of Ecology, 76(3), pp.790-806.","https://doi.org/10.2307/2260574","Hope, G.S., 1995. Robustness and sensitivity of pollen data-a high resolution record from Bega Swamp. Proceedings of the Climate Change Conference, University of Melbourne and the Australian Quaternary Association, pp.6-8.",NA,"Polach, H. and Singh, G., 1980. Contemporary 14C levels and their significance to sedimentary history of Bega Swamp, New South Wales. Radiocarbon, 22(2), pp.398-409.","https://doi.org/10.1017/S0033822200009693",NA,NA,NA,NA,NA,NA
"BELLS","BELLS","BELLS","10.21233/n35g6p","LegacyPollen 1.0",248,253,"Bell's Lake",65.01667,-127.483,580,"Western North America","Lake","Raw",53,"AWI",5,-57,12638,244.1,12695,"Ground moraine depression. Physiography: Mackenzie Mountains. Surrounding vegetation: open Picea muskeg and forest.","1990-04-01 00:00:00","Szeicz, J.M., MacDonald, G.M. and Duk-Rodkin, A., 1995. Late Quaternary vegetation history of the central Mackenzie Mountains, Northwest Territories, Canada. Palaeogeography, Palaeoclimatology, Palaeoecology, 113(2-4), pp.351-371.","https://doi.org/10.1016/0031-0182(95)00070-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BELMONT","BELMONT","BELMONT","10.21233/n31s4s","LegacyPollen 1.0",249,254,"Belmont Bog",42.25,-77.916667,497,"Eastern North America","Peat","Raw",46,"AWI",7,73,19718,436.6,19645,NA,"1973-01-01 00:00:00","Spear, R.W. and Miller, N.G., 1976. A radiocarbon dated pollen diagram from the Allegheny Plateau of New York State. Journal of the Arnold Arboretum, 57(3), pp.369-403.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BELSKALA","BELSKALA","BELSKALA","10.21233/n3h402","LegacyPollen 1.0",251,256,"Belaya Skala Exposure",43.25,134.5667,4,"Asia","Coast","Raw",14,"AWI",3,357,6845,499.1,6488,"Lagoon terrace. Physiography: coastal plain. Surrounding vegetation: Quercus mongolica-Betula forest.","1986-06-18 00:00:00","Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.",NA,"Korotky, A.M. and Karaulova, L.P., 1975. New data about the stratigraphy of Quaternary deposits of Primor'ye. In: Questions of geomorphology and Quaternary geology of the southern Far East ed. by A.M. Korotky and A.P. Kulakov (pp.79-110). Far Eastern Branch, USSR Academy of Sciences, Vladivostok (in Russian).",NA,"Korotky, A.M., Karaulova, L.P. and Troitskaya, T.S., 1980. The Quaternary deposits of Primor'ye. Nauka, Novosibirsk (in Russian).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BER_neotoma","BER_neotoma","BER","10.21233/n37m4x","LegacyPollen 1.0",252,258,"Bereziuk",54.04722,-76.1203,205,"Eastern North America","Lake","Raw",24,"AWI",3,19,8600,373.1,8581,"Rock basin lake. Physiography: rolling moraine. Surrounding vegetation: Cladino - Piceetum marianae.","1977-07-06 00:00:00","Richard, P.J.H., 1979. Contribution a l'histoire postglaciaire de la vegetation au nord-est de la Jamesie, Nouveau-Quebec. Geographie physique et Quaternaire, 33(1), pp.93-112 (in French).","https://doi.org/10.7202/1000324ar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigirka_Lowland","BER1IND","BER1IND","10.21233/n33t20","LegacyPollen 1.0",253,259,"Berelyekh River, Indigirka Lowland",70.58333,145,20,"Asia","Alluvial/Fluvial","Raw",16,"AWI",6,8515,20446,795.4,11931,"Exposure on river terrace. Physiography: river valley. Surrounding vegetation: shrub tundra.",NA,"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.",NA,"Lozhkin, A.V., 1977. Environment of the Berelyekh mammoth population. In: Mammoth fauna of the Russian plain and Eastern Siberia ed. by O.A. Skarlato (pp.67-68). Zoological Institute, USSR Academy of Sciences, Leningrad (in Russian).",NA,"Lozhkin, A.V., 1998. Questions concerning radiocarbon data and palynological characteristics of the mammoth burials, Berelyekh River, lower Indigirka drainage. In: Environmental changes in Beringia during the Quaternary ed. by K.V. Simakov (pp.45-62). North East Interdisciplinary Research Institute, Far East Branch, Russian Academy of Sciences, Magadan (in Russian).",NA,"Vereschagin, N.K., 1977. Berelyekh mammoth ""cemetery"". In: Mammoth fauna of the Russian plain and Eastern Siberia ed. by O.A. Skarlato (pp.5-50). Zoological Institute, USSR Academy of Sciences, Leningrad (in Russian).",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BERRYPND","BERRYPND","BERRYPND","10.21233/n3040d","LegacyPollen 1.0",254,260,"Berry Pond",42.51,-73.32,600,"Eastern North America","Lake","Raw",42,"AWI",16,218,11567,276.8,11349,NA,"1965-10-01 00:00:00","Whitehead, D.R., 1979. Late-glacial and postglacial vegetational history of the Berkshires, western Massachusetts. Quaternary Research, 12(3), pp.333-357.","https://doi.org/10.1016/0033-5894(79)90033-4","Whitehead, D.R. and Crisman, T.L., 1978. Paleolimnological studies of small New England (USA) ponds. Part I. Late-glacial and postglacial trophic oscillations. Polskie Archiwum Hydrobiologii, 25, pp.471-481.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BETENK","BETENK","BETENK","10.21233/n38889","LegacyPollen 1.0",255,261,"Betenkyos Exposure, Adycha River",67.66667,135.5833,135,"Asia","Alluvial/Fluvial","Raw",10,"AWI",3,-61,2967,336.4,3028,"Floodplain exposure. Physiography: river valley. Surrounding vegetation: open Larix dahurica forest.",NA,"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BI74MS11","BI74MS11","BI74MS11","10.21233/n32t32","LegacyPollen 1.0",261,267,"Banks Island 74MS11",71.76,-124.24,30,"Western North America","Lake","Raw",55,"AWI",3,-50,12691,235.9,12741,"Small coastal kettle lake. Physiography: ice-contact sediments, Carpenter Till.",NA,"Gajewski, K., Mott, R.J., Ritchie, J.C. and Hadden, K., 2000. Holocene vegetation history of Banks Island, Northwest Territories, Canada. Canadian Journal of Botany, 78(4), pp.430-436.","https://doi.org/10.1139/b00-018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BI74MS12","BI74MS12","BI74MS12","10.21233/n3c31v","LegacyPollen 1.0",262,268,"Banks Island 74MS12",72.37,-119.84,220,"Western North America","Lake","Raw",33,"AWI",3,257,12259,375.1,12002,"Small upland kettle lake. Physiography: morainal deposits of Jesse Till.",NA,"Gajewski, K., Mott, R.J., Ritchie, J.C. and Hadden, K., 2000. Holocene vegetation history of Banks Island, Northwest Territories, Canada. Canadian Journal of Botany, 78(4), pp.430-436.","https://doi.org/10.1139/b00-018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BI74MS15","BI74MS15","BI74MS15","10.21233/n37880","LegacyPollen 1.0",263,269,"Banks Island 74MS15",73.53444,-120.209,120,"Western North America","Lake","Raw",62,"AWI",4,70,13085,213.4,13015,"Small lake in depression in Baker Till. Physiography: morainal deposits of Baker Till.",NA,"Gajewski, K., Mott, R.J., Ritchie, J.C. and Hadden, K., 2000. Holocene vegetation history of Banks Island, Northwest Territories, Canada. Canadian Journal of Botany, 78(4), pp.430-436.","https://doi.org/10.1139/b00-018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIGJOHN","BIGJOHN","BIGJOHN","10.21233/n3jx1p","LegacyPollen 1.0",266,272,"Big John Pond",47.55918,-94.9708,421,"Eastern North America","Lake","Raw",12,"AWI",4,-39,5732,524.6,5771,"Lake in pitted outwash plain. Physiography: Bemidji Sand Plain (glacial outwash). Surrounding vegetation: Pinus banksiana forest.","1981-02-05 00:00:00","Almendinger, J.C., 1992. The late Holocene history of prairie, brush-prairie, and jack pine (Pinus banksiana) forest on outwash plains, north-central Minnesota, USA. The Holocene, 2(1), pp.37-50.","https://doi.org/10.1177/095968369200200105","Almendinger, J.C., 1985. The late-Holocene development of jack pine forests on outwash plains, north-central Minnesota. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BILLYS","BILLYS","BILLYS","10.21233/n39d67","LegacyPollen 1.0",269,275,"Billy's Lake",46.27058,-94.5516,383,"Eastern North America","Lake","Raw",77,"AWI",6,-27,11693,154.2,11720,"Shallow depression on St. Croix moraine. Physiography: rugged relief. Surrounding vegetation: white pine/hardwoods.","1974-03-01 00:00:00","Jacobson Jr, G.L., 1975. A palynological study of the history and ecology of white pine in Minnesota. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",NA,"Bender, M.M., Bryson, R.A. and Baerreis, D.A., 1977. University of Wisconsin radiocarbon dates XIV. Radiocarbon, 19(1), pp.127-137.","https://doi.org/10.1017/S0033822200003404","Jacobson Jr, G.L., 1979. The palaeoecology of white pine (Pinus strobus) in Minnesota. Journal of Ecology, 67(2), pp.697-726.","https://doi.org/10.2307/2259121","Jacobson Jr, G.L. and Grimm, E.C., 1986. A Numerical Analysis of Holocene Forest and Prairie Vegetation in Central Minnesota: Ecological Archives. Ecology, 67(4), pp.958-966.","https://doi.org/10.2307/1939818","Steventon, R.L. and Kutzbach, J.E., 1983. University of Wisconsin radiocarbon dates XX. Radiocarbon, 25(1), pp.152-168.","https://doi.org/10.1017/S0033822200005348",NA,NA,NA,NA,NA,NA
"BLACKPND","BLACKPND","BLACKPND","10.21233/n31x2d","LegacyPollen 1.0",272,278,"Black Pond",35.62,-84.19,262,"Eastern North America","Lake","Raw",43,"AWI",2,-28,2779,66.8,2807,"Spring-fed sinkhole pond. Physiography: ridge and valley province. Surrounding vegetation: oak-hickory forest.","1982-07-01 00:00:00","Cridlebaugh, P.A., 1984. American Indian and Euro-American impact upon Holocene vegetation in the Lower Little Tennessee River Valley, East Tennessee. Doctoral dissertation. University of Tennessee, Knoxville, Tennessee, USA.",NA,"Delcourt, P.A., Delcourt, H.R., Cridlebaugh, P.A. and Chapman, J., 1986. Holocene ethnobotanical and paleoecological record of human impact on vegetation in the Little Tennessee River Valley, Tennessee. Quaternary Research, 25(3), pp.330-349.","https://doi.org/10.1016/0033-5894(86)90005-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLAKTAIL","BLAKTAIL","BLAKTAIL","10.21233/n3b305","LegacyPollen 1.0",273,279,"Blacktail Pond",44.95611,-110.601,2012,"Western North America","Lake","Raw",56,"AWI",4,-22,16816,306.1,16838,"Blacktail Pond is situated in a remnant late-Pleistocene meltwater channel; surrounding vegetation is Pseudotsuga menziesii (Douglas-fir) parkland, which includes grassland and steppe communities dominated by Artemisia tridentata (big sagebrush), Festuca idahoensis (Idaho fescue), and Ericameria nauseosa (rabbitbrush).","1970-08-01 00:00:00","Gennett, J.A., 1977. Palynology and paleoecology of sediments from Blacktail Pond, northern Yellowstone Park, Wyoming. Master's thesis. University of Iowa, Iowa City, Iowa, USA.",NA,"Gennett, J.A. and Baker, R.G., 1986. A late quaternary pollen sequence from blacktail pond, Yellowstone national park, Wyoming, USA. Palynology, 10(1), pp.61-71.","https://doi.org/10.1080/01916122.1986.9989303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLBIGBEE","BLBIGBEE","BLBIGBEE","10.21233/n32k5d","LegacyPollen 1.0",275,281,"BL-Tombigbee",33.56333,-88.4744,49,"Eastern North America","Peat","Raw",29,"AWI",5,-40,13348,478.1,13388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLUELAKE","BLUELAKE","BLUELAKE","10.21233/n34m6r","LegacyPollen 1.0",279,285,"Blue Lake",-36.4,148.31,1890,"Indopacific","Lake","Raw",43,"AWI",10,216,15333,359.9,15117,"Glacial lake 40m deep. Physiography: mountainous. Surrounding vegetation: Alpine heath and scrub.","1971-02-01 00:00:00","Raine, J.I. 1974. Pollen sedimentation in relation to Quaternary vegetation history of the Snowy Mountains of New South Wales. Doctoral dissertation. Australian National University, Canberra, Australia.",NA,"Raine, J.I., 1982. Dimictic thermal regime and morphology of Blue Lake in the Snowy Mountains of New South Wales. Marine and Freshwater Research, 33(6), pp.1119-1122.","https://doi.org/10.1071/mf9821119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLUMOUND","BLUMOUND","BLUMOUND","10.21233/n30x23","LegacyPollen 1.0",281,287,"Blue Mounds Creek",43.08333,-89.8667,335,"Eastern North America","Lake","Raw",38,"AWI",5,-59,12145,329.8,12204,NA,NA,"Davis, A.M., 1977. The prairie-deciduous forest ecotone in the upper middle west. Annals of the Association of American Geographers, 67(2), pp.204-213.","https://doi.org/10.1111/j.1467-8306.1977.tb01133.x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOAVISTA","BOAVISTA","BOAVISTA","10.21233/n33q4q","LegacyPollen 1.0",288,294,"Serra da Boa Vista",-27.7,-49.15,1160,"South America","Peat","Raw",38,"AWI",4,-38,17887,484.5,17925,"Peat bog. Physiography: situated on a small slope. Surrounding vegetation: grassland.","1989-05-04 00:00:00","Behling, H., 1993. Untersuchungen zur spatpleistozanen und holozanen Vegetations- und Klimageschichte der tropischen Kustenwalder und der Araukarienwalder in Santa Catarina (Sudbrasilien). Dissertationes Botanicae 206. J Cramer, Berlin Stuttgart, Germany (in German).",NA,"Behling, H., 1995. Investigations into the Late Pleistocene and Holocene history of vegetation and climate in Santa Catarina (S Brazil). Vegetation History and Archaeobotany, 4(3), pp.127-152.","https://doi.org/10.1007/BF00203932","Ledru, M.P., Behling, H., Fournier, M., Martin, L. and Servant, M., 1994. Localisation de la foret d'Araucaria du Bresil au cours de l'Holocene. Implications paleoclimatiques. Comptes rendus de l'Academie des sciences. Serie 3, Sciences de la vie, 317(6), pp.517-521 (in French).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
